nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	name	
0	1.10225	35.85351	0.58334	0.00000	1.97693	3.27956	1.77178	2.00352	0.13599	0.03479	0.06518	3.63337	0.22677	0.22677	0.01310	0.01561	44.89201	0.63867	694.58590	13	1.30000	1.21000	6240.00000	14.53066	F	216.29915	51.85074	93.83210	59.65260	*tetBoo
0	0.61089	20.82379	0.12833	0.00000	1.83425	1.65936	5.84416	3.10556	0.60599	0.15330	0.09813	0.20416	0.10915	0.10915	0.00674	0.00751	1.75273	0.12908	253.72269	14	0.39300	0.40000	3500.00000	14.53727	M	216.29825	51.83142	93.80608	59.66677	*tetBooB
0	2.41901	54.64609	16.11403	0.00000	1.83425	5.63553	1.02892	2.91392	0.53087	0.20544	0.01783	0.20416	0.20767	0.20767	0.01029	0.01429	0.48423	0.74520	192.14964	14	0.39300	0.40000	3500.00000	14.53727	M	216.29825	51.83142	93.80608	59.66677	*tetBooB
0	0.58257	137.54395	0.21555	0.00000	1.83425	3.25702	0.74292	4.67247	0.76109	0.03757	0.01036	0.20416	0.38425	0.38425	0.01788	0.02643	0.14143	0.77771	119.32888	14	0.39300	0.40000	3500.00000	14.53727	M	216.29825	51.83142	93.80608	59.66677	*tetBooB
0	1.45727	9.25977	2.34131	0.00000	2.69715	2.13527	5.38399	5.01232	0.63009	0.59993	0.07835	5.70246	0.08936	0.08936	0.00719	0.00769	203.60892	0.51611	819.93177	15	1.18000	1.11000	6000.00000	11.62468	F	76.37773	-57.47270	266.03365	-36.71583	*zetDor
0	2.20912	110.82096	4.45356	0.00000	2.69715	2.63051	6.18894	3.45600	0.02057	0.44347	0.05044	5.70246	0.46755	0.46755	0.04004	0.04022	7.43762	0.36666	457.25201	15	1.18000	1.11000	6000.00000	11.62468	F	76.37773	-57.47270	266.03365	-36.71583	*zetDor
0	0.97589	31.80773	5.04378	0.00000	1.69255	3.38955	3.77545	5.87276	0.05557	0.27382	0.02711	3.70021	0.16932	0.16932	0.00960	0.00984	4.16815	0.43601	392.04124	16	0.65600	0.64000	4190.00000	17.20883	K	55.96902	16.67203	171.67698	-29.44599	BD+16502
0	2.65385	184.38869	7.79694	0.00000	1.69255	4.43876	1.08246	0.31999	0.17864	0.56548	0.02732	3.70021	0.54641	0.54641	0.00654	0.03175	0.40026	0.00094	210.75225	16	0.65600	0.64000	4190.00000	17.20883	K	55.96902	16.67203	171.67698	-29.44599	BD+16502
0	1.81835	432.16059	4.83882	0.00000	1.69255	1.22845	2.01899	1.08412	0.44299	0.58820	0.08023	3.70021	0.96411	0.96411	0.05598	0.05602	0.12857	0.29945	143.97987	16	0.65600	0.64000	4190.00000	17.20883	K	55.96902	16.67203	171.67698	-29.44599	BD+16502
0	1.83578	7.99053	2.54385	0.00000	1.44389	4.69478	2.66415	3.34550	0.52837	0.07342	0.04558	0.00544	0.06082	0.06082	0.01209	0.01255	9.14740	0.46379	401.12374	17	0.46000	0.47000	3650.00000	4.84801	M	166.36907	43.52678	168.50270	63.07144	BD+442051
0	1.48075	13.65950	4.27259	0.00000	1.44389	0.07251	2.44602	2.24423	0.40025	0.43680	0.08455	0.00544	0.08695	0.08695	0.00230	0.01794	4.47526	0.99194	356.24633	17	0.46000	0.47000	3650.00000	4.84801	M	166.36907	43.52678	168.50270	63.07144	BD+442051
0	1.92613	27.55809	1.94262	0.00000	1.44389	5.78890	1.63091	2.14961	0.50774	0.39713	0.09151	0.00544	0.13884	0.13884	0.02309	0.02864	1.75550	0.67160	268.34976	17	0.46000	0.47000	3650.00000	4.84801	M	166.36907	43.52678	168.50270	63.07144	BD+442051
