nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
373	0.753768	0.971985	1.2895	1.05322	False
375	0.818735	1.05278	1.28586	1.05025	False
376	7.15446	11.1177	1.55395	1.26921	False
377	2.22921	2.95289	1.32464	1.08192	False
378	0.778068	1.08845	1.39892	1.14259	False
379	1.25295	1.69765	1.35493	1.10666	False
380	10.307	14.1267	1.3706	1.11946	True
381	0.970826	1.39806	1.44008	1.17621	False
382	0.751203	1.01722	1.35412	1.106	False
384	3.6092	5.0214	1.39128	1.13635	False
385	1.93189	2.47729	1.28231	1.04735	False
386	5.43218	8.48368	1.56174	1.27558	False
387	2.50099	3.39153	1.35608	1.1076	False
389	5.42138	7.76848	1.43293	1.17037	False
390	1.026	1.47753	1.44008	1.17621	False
391	1.80989	2.37763	1.31369	1.07298	False
392	1.32896	1.63437	1.22981	1.00447	False
393	2.36354	3.12612	1.32264	1.08029	False
394	1.34718	2.09107	1.55219	1.26777	False
395	2.20414	3.43195	1.55705	1.27174	False
397	1.44974	2.27359	1.56828	1.28092	False
398	3.12011	4.22955	1.35558	1.10719	False
399	1.36643	1.78095	1.30336	1.06454	False
400	1.8265	2.33003	1.27568	1.04193	False
401	0.918148	1.21779	1.32635	1.08332	False
402	1.05417	1.67577	1.58966	1.29838	False
403	1.33431	2.00018	1.49904	1.22437	False
404	1.63341	2.19197	1.34196	1.09607	False
405	2.67849	3.59718	1.34299	1.09691	False
406	1.281	1.68464	1.3151	1.07413	False
407	1.05399	1.37681	1.30629	1.06693	False
408	3.67504	5.62822	1.53147	1.25086	False
410	6.3667	9.42981	1.48112	1.20973	False
412	6.14378	9.70959	1.58039	1.29081	False
413	0.764235	1.16621	1.52599	1.24637	False
414	1.61823	2.25203	1.39166	1.13666	False
415	1.26506	1.89127	1.495	1.22106	False
416	1.99374	2.85324	1.43109	1.16887	False
418	2.47773	3.59163	1.44957	1.18396	False
419	7.62934	13.3266	1.74675	1.42669	False
420	1.1947	1.71814	1.43813	1.17462	False
421	4.89098	6.77291	1.38477	1.13104	False
422	1.68131	2.48684	1.47911	1.20809	False
423	1.15693	1.64684	1.42346	1.16263	False
424	2.15799	3.0122	1.39584	1.14007	False
426	1.63807	2.07811	1.26863	1.03618	False
427	5.34814	7.37677	1.37931	1.12658	False
428	0.938988	1.23274	1.31284	1.07229	False
429	0.849167	1.09499	1.28949	1.05321	False
430	1.2521	1.70987	1.3656	1.11538	False
431	1.47119	1.90459	1.29459	1.05738	False
432	4.03112	5.41033	1.34214	1.09622	False
433	0.99257	1.25876	1.26818	1.03581	False
434	1.58085	2.6466	1.67417	1.36741	False
435	3.64315	4.63668	1.27271	1.03951	False
436	1.25592	1.71726	1.36733	1.11679	False
437	1.32024	1.74269	1.31998	1.07811	False
438	1.44746	1.95231	1.34878	1.10164	False
439	26.8993	46.9891	1.74685	1.42677	True
440	1.38181	1.85093	1.3395	1.09406	False
441	1.45366	2.36733	1.62853	1.33013	False
442	1.32304	1.91229	1.44537	1.18053	False
443	2.99733	4.57999	1.52802	1.24804	False
444	0.446884	0.555893	1.24393	1.016	False
446	7.42453	11.8633	1.59786	1.30508	False
