design	catalog	target_yr	short_budget	long_budget	mtime_yr
bracewell4	hab2lo	7.5	1995.2623	1301.0252	9.3833
bracewell4	hab2lo	7.5	1995.2623	1995.2623	9.8749
bracewell4	hab2lo	7.5	1995.2623	3059.9497	10.6143
bracewell4	hab2lo	7.5	1995.2623	4692.7625	10.6143
bracewell4	hab2lo	7.5	1995.2623	7196.8567	10.6143
bracewell4	hab2lo	7.5	1995.2623	11037.1550	10.6143
bracewell4	hab2lo	7.5	1995.2623	16926.6662	10.6143
bracewell4	hab2lo	7.5	1995.2623	25958.8659	10.6143
bracewell4	hab2lo	7.5	1995.2623	39810.7171	10.6143
bracewell4	hab2lo	7.5	3059.9497	100.0000	9.1517
bracewell4	hab2lo	7.5	3059.9497	153.3608	9.1934
bracewell4	hab2lo	7.5	3059.9497	235.1953	9.2597
bracewell4	hab2lo	7.5	3059.9497	360.6973	9.3017
bracewell4	hab2lo	7.5	3059.9497	553.1681	9.4116
bracewell4	hab2lo	7.5	3059.9497	848.3429	9.6385
bracewell4	hab2lo	7.5	3059.9497	1301.0252	9.9861
bracewell4	hab2lo	7.5	3059.9497	1995.2623	10.3653
bracewell4	hab2lo	7.5	3059.9497	3059.9497	10.3653
bracewell4	hab2lo	7.5	3059.9497	4692.7625	10.3653
bracewell4	hab2lo	7.5	3059.9497	7196.8567	10.3653
bracewell4	hab2lo	7.5	3059.9497	11037.1550	10.3653
bracewell4	hab2lo	7.5	3059.9497	16926.6662	10.3653
bracewell4	hab2lo	7.5	3059.9497	25958.8659	10.3653
bracewell4	hab2lo	7.5	3059.9497	39810.7171	10.3653
bracewell4	hab2lo	7.5	4692.7625	100.0000	9.9810
bracewell4	hab2lo	7.5	4692.7625	153.3608	9.9605
bracewell4	hab2lo	7.5	4692.7625	235.1953	10.0259
bracewell4	hab2lo	7.5	4692.7625	360.6973	10.0259
bracewell4	hab2lo	7.5	4692.7625	553.1681	10.0259
bracewell4	hab2lo	7.5	4692.7625	848.3429	10.0259
bracewell4	hab2lo	7.5	4692.7625	1301.0252	10.0259
bracewell4	hab2lo	7.5	4692.7625	1995.2623	10.0259
bracewell4	hab2lo	7.5	4692.7625	3059.9497	10.0259
bracewell4	hab2lo	7.5	4692.7625	4692.7625	10.0259
bracewell4	hab2lo	7.5	4692.7625	7196.8567	10.0259
bracewell4	hab2lo	7.5	4692.7625	11037.1550	10.0259
bracewell4	hab2lo	7.5	4692.7625	16926.6662	10.0259
bracewell4	hab2lo	7.5	4692.7625	25958.8659	10.0259
bracewell4	hab2lo	7.5	4692.7625	39810.7171	10.0259
bracewell4	hab2lo	7.5	7196.8567	100.0000	10.8644
bracewell4	hab2lo	7.5	7196.8567	153.3608	10.8644
bracewell4	hab2lo	7.5	7196.8567	235.1953	10.8644
bracewell4	hab2lo	7.5	7196.8567	360.6973	10.8644
bracewell4	hab2lo	7.5	7196.8567	553.1681	10.8644
bracewell4	hab2lo	7.5	7196.8567	848.3429	10.8644
bracewell4	hab2lo	7.5	7196.8567	1301.0252	10.8644
bracewell4	hab2lo	7.5	7196.8567	1995.2623	10.8644
bracewell4	hab2lo	7.5	7196.8567	3059.9497	10.8644
bracewell4	hab2lo	7.5	7196.8567	4692.7625	10.8644
bracewell4	hab2lo	7.5	7196.8567	7196.8567	10.8644
bracewell4	hab2lo	7.5	7196.8567	11037.1550	10.8644
bracewell4	hab2lo	7.5	7196.8567	16926.6662	10.8644
bracewell4	hab2lo	7.5	7196.8567	25958.8659	10.8644
bracewell4	hab2lo	7.5	7196.8567	39810.7171	10.8644
bracewell4	hab2lo	7.5	11037.1550	100.0000	12.4142
bracewell4	hab2lo	7.5	11037.1550	153.3608	12.4142
bracewell4	hab2lo	7.5	11037.1550	235.1953	12.4142
bracewell4	hab2lo	7.5	11037.1550	360.6973	12.4142
bracewell4	hab2lo	7.5	11037.1550	553.1681	12.4142
bracewell4	hab2lo	7.5	11037.1550	848.3429	12.4142
bracewell4	hab2lo	7.5	11037.1550	1301.0252	12.4142
bracewell4	hab2lo	7.5	11037.1550	1995.2623	12.4142
bracewell4	hab2lo	7.5	11037.1550	3059.9497	12.4142
bracewell4	hab2lo	7.5	11037.1550	4692.7625	12.4142
bracewell4	hab2lo	7.5	11037.1550	7196.8567	12.4142
bracewell4	hab2lo	7.5	11037.1550	11037.1550	12.4142
bracewell4	hab2lo	7.5	11037.1550	16926.6662	12.4142
bracewell4	hab2lo	7.5	11037.1550	25958.8659	12.4142
bracewell4	hab2lo	7.5	11037.1550	39810.7171	12.4142
bracewell4	hab2lo	7.5	16926.6662	100.0000	14.3183
bracewell4	hab2lo	7.5	16926.6662	153.3608	14.3183
bracewell4	hab2lo	7.5	16926.6662	235.1953	14.3183
bracewell4	hab2lo	7.5	16926.6662	360.6973	14.3183
bracewell4	hab2lo	7.5	16926.6662	553.1681	14.3183
bracewell4	hab2lo	7.5	16926.6662	848.3429	14.3183
