nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
1530	1.08461	1.37409	1.2669	1.03476	False
1531	2.81008	3.77786	1.3444	1.09806	False
1532	0.595686	0.792683	1.33071	1.08688	False
1533	4.07296	5.85666	1.43794	1.17446	False
1534	0.874146	1.19022	1.36158	1.11209	False
1535	2.6549	3.69287	1.39096	1.13609	False
1536	0.608691	0.834152	1.3704	1.1193	False
1537	5.75125	8.78437	1.52738	1.24752	False
1538	2.0289	2.99422	1.47578	1.20537	False
1539	1.82621	2.56694	1.40561	1.14805	False
1540	1.28964	1.67614	1.2997	1.06155	False
1543	1.56349	2.31102	1.47812	1.20728	False
1544	2.02663	2.6155	1.29056	1.05409	False
1546	5.33166	7.5215	1.41072	1.15223	False
1547	0.794018	0.85694	1.07924	0.881492	False
1548	3.98874	5.30795	1.33073	1.0869	False
1549	1.32071	1.81363	1.37322	1.1216	False
1550	4.07541	6.1585	1.51114	1.23425	False
1551	0.96528	1.26055	1.30589	1.06661	False
1552	1.4672	1.99297	1.35835	1.10946	False
1553	1.27619	1.86607	1.46223	1.1943	False
1554	2.42495	4.14855	1.71078	1.39731	False
1555	0.976882	1.26581	1.29577	1.05834	False
1556	1.32273	1.72502	1.30414	1.06518	False
1557	0.31599	0.387953	1.22774	1.00278	False
1558	6.38553	8.97658	1.40577	1.14819	False
1559	0.956111	1.28948	1.34867	1.10155	False
1560	0.814773	1.1483	1.40935	1.15111	False
1561	0.823158	1.04431	1.26866	1.0362	False
1562	1.32422	1.92411	1.45301	1.18677	False
1563	1.04065	1.33733	1.28509	1.04962	False
1564	3.95028	5.65658	1.43194	1.16956	False
1565	3.73178	6.20606	1.66303	1.35831	False
1567	1.17049	1.54846	1.32292	1.08052	False
1568	2.07513	3.06957	1.47922	1.20818	False
1569	1.90139	2.48388	1.30635	1.06698	False
1570	3.00321	4.32435	1.43991	1.17607	False
1572	1.07779	1.36422	1.26576	1.03383	False
1573	3.09583	4.32571	1.39727	1.14124	False
1574	0.827525	1.08249	1.3081	1.06841	False
1575	1.12375	1.70594	1.51808	1.23992	False
1576	1.41483	1.98548	1.40334	1.1462	False
1577	0.872726	1.10245	1.26323	1.03176	False
1578	0.934337	1.21932	1.30501	1.06589	False
1579	1.02011	1.29723	1.27166	1.03865	False
1580	1.1045	1.45984	1.32172	1.07954	False
1581	1.00156	1.28251	1.28051	1.04588	False
1582	1.27535	1.851	1.45137	1.18543	False
1583	1.46778	2.04509	1.39332	1.13802	False
1584	1.67937	2.21319	1.31787	1.07639	False
1585	0.849149	1.27543	1.50202	1.2268	False
1586	1.35451	1.7726	1.30867	1.06888	False
